scrape time,time,latitude,longitude,name,source,state,address
"2022 Apr 24, 22:59:39",2021-10-07T13:57:00+0000,51.05128,3.68637,Schaap (nieuwe tracker),gps,ON_THE_MOVE,"Jenny Montignypad, 9000, Ghent, Belgium"
"2022 Apr 25, 00:07:45",2021-10-07T13:57:00+0000,51.05128,3.68637,Schaap (nieuwe tracker),gps,ON_THE_MOVE,"Jenny Montignypad, 9000, Ghent, Belgium"
"2022 Apr 25, 22:50:44",2021-10-07T13:57:00+0000,51.05128,3.68637,Schaap (nieuwe tracker),gps,ON_THE_MOVE,"Jenny Montignypad, 9000, Ghent, Belgium"
"2022 Apr 25, 22:53:41",2021-10-07T13:57:00+0000,51.05128,3.68637,Schaap (nieuwe tracker),gps,ON_THE_MOVE,"Jenny Montignypad, 9000, Ghent, Belgium"
"2022 Apr 25, 22:59:39",2021-10-07T13:57:00+0000,51.05128,3.68637,Schaap (nieuwe tracker),gps,ON_THE_MOVE,"Jenny Montignypad, 9000, Ghent, Belgium"
"2022 Apr 26, 00:07:46",2021-10-07T13:57:00+0000,51.05128,3.68637,Schaap (nieuwe tracker),gps,ON_THE_MOVE,"Jenny Montignypad, 9000, Ghent, Belgium"
"2022 Apr 26, 20:30:51",2021-10-07T13:57:00+0000,51.05128,3.68637,Schaap (nieuwe tracker),gps,ON_THE_MOVE,"Jenny Montignypad, 9000, Ghent, Belgium"
"2022 Apr 26, 20:33:48",2021-10-07T13:57:00+0000,51.05128,3.68637,Schaap (nieuwe tracker),gps,ON_THE_MOVE,"Jenny Montignypad, 9000, Ghent, Belgium"
"2022 Apr 26, 21:07:50",2021-10-07T13:57:00+0000,51.05128,3.68637,Schaap (nieuwe tracker),gps,ON_THE_MOVE,"Jenny Montignypad, 9000, Ghent, Belgium"
"2022 Apr 26, 22:08:40",2021-10-07T13:57:00+0000,51.05128,3.68637,Schaap (nieuwe tracker),gps,ON_THE_MOVE,"Jenny Montignypad, 9000, Ghent, Belgium"
"2022 Apr 26, 22:36:46",2021-10-07T13:57:00+0000,51.05128,3.68637,Schaap (nieuwe tracker),gps,ON_THE_MOVE,"Jenny Montignypad, 9000, Ghent, Belgium"
"2022 Apr 26, 22:53:51",2021-10-07T13:57:00+0000,51.05128,3.68637,Schaap (nieuwe tracker),gps,ON_THE_MOVE,"Jenny Montignypad, 9000, Ghent, Belgium"
"2022 Apr 26, 22:59:23",2021-10-07T13:57:00+0000,51.05128,3.68637,Schaap (nieuwe tracker),gps,ON_THE_MOVE,"Jenny Montignypad, 9000, Ghent, Belgium"
"2022 Apr 27, 20:53:33",2021-10-07T13:57:00+0000,51.05128,3.68637,Schaap (nieuwe tracker),gps,ON_THE_MOVE,"Jenny Montignypad, 9000, Ghent, Belgium"
"2022 Apr 27, 20:56:28",2021-10-07T13:57:00+0000,51.05128,3.68637,Schaap (nieuwe tracker),gps,ON_THE_MOVE,"Jenny Montignypad, 9000, Ghent, Belgium"
"2022 Apr 27, 22:36:46",2021-10-07T13:57:00+0000,51.05128,3.68637,Schaap (nieuwe tracker),gps,ON_THE_MOVE,"Jenny Montignypad, 9000, Ghent, Belgium"
"2022 Apr 27, 22:53:41",2021-10-07T13:57:00+0000,51.05128,3.68637,Schaap (nieuwe tracker),gps,ON_THE_MOVE,"Jenny Montignypad, 9000, Ghent, Belgium"
